workload,engine,problem_size,status,reason,run_id,provenance_file
lstm,fortad,100,unavailable,FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,enzyme,100,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,tapenade,100,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,fortad,1000,unavailable,FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,enzyme,1000,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,tapenade,1000,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,fortad,10000,unavailable,FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,enzyme,10000,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,tapenade,10000,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,fortad,100000,unavailable,FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,enzyme,100000,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,tapenade,100000,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,fortad,1000000,unavailable,FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,enzyme,1000000,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
lstm,tapenade,1000000,unavailable,not measured because the complete three-engine intersection is unavailable: FortAD generated derivative fails flang semantic rank checking (fad_s15/fad_s18 scalar-versus-array assignment); full diagnostic: build/enzyme_suite/lstm_fortad.log,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,fortad,1000000,unavailable,benchmark process failed with exit status 139,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,enzyme,1000000,unavailable,benchmark process failed with exit status 139,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
bruss,tapenade,1000000,unavailable,benchmark process failed with exit status 139,20260809T043506Z-608942,results/enzyme_suite_sweep.20260809T043506Z-608942.json
